patch_id,image_id,candidate_rank_global,candidate_rank_in_image,suspicion_score,crop_bbox,source_pred_instance_id,image_path,pred_mask_path,gt_mask_path,overlay_path,patch_paths
rank_00001__mexico-earthquake_00000139__pred_00009,mexico-earthquake_00000139,1,1,12.0,"[61, 37, 730, 730]",9,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00001__mexico-earthquake_00000139__pred_00009.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00001__mexico-earthquake_00000139__pred_00009.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00001__mexico-earthquake_00000139__pred_00009.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00001__mexico-earthquake_00000139__pred_00009.png,"{""image"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00001__mexico-earthquake_00000139__pred_00009.png"", ""pred"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00001__mexico-earthquake_00000139__pred_00009.png"", ""gt"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00001__mexico-earthquake_00000139__pred_00009.png"", ""overlay"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00001__mexico-earthquake_00000139__pred_00009.png""}"
rank_00002__mexico-earthquake_00000094__pred_00003,mexico-earthquake_00000094,2,1,11.0,"[0, 0, 459, 242]",3,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00002__mexico-earthquake_00000094__pred_00003.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00002__mexico-earthquake_00000094__pred_00003.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00002__mexico-earthquake_00000094__pred_00003.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00002__mexico-earthquake_00000094__pred_00003.png,"{""image"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00002__mexico-earthquake_00000094__pred_00003.png"", ""pred"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00002__mexico-earthquake_00000094__pred_00003.png"", ""gt"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00002__mexico-earthquake_00000094__pred_00003.png"", ""overlay"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00002__mexico-earthquake_00000094__pred_00003.png""}"
rank_00003__palu-tsunami_00000082__pred_00003,palu-tsunami_00000082,3,1,11.0,"[195, 0, 599, 234]",3,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00003__palu-tsunami_00000082__pred_00003.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00003__palu-tsunami_00000082__pred_00003.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00003__palu-tsunami_00000082__pred_00003.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00003__palu-tsunami_00000082__pred_00003.png,"{""image"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00003__palu-tsunami_00000082__pred_00003.png"", ""pred"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00003__palu-tsunami_00000082__pred_00003.png"", ""gt"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00003__palu-tsunami_00000082__pred_00003.png"", ""overlay"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00003__palu-tsunami_00000082__pred_00003.png""}"
rank_00004__mexico-earthquake_00000094__pred_00043,mexico-earthquake_00000094,4,2,11.0,"[254, 368, 563, 628]",43,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00004__mexico-earthquake_00000094__pred_00043.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00004__mexico-earthquake_00000094__pred_00043.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00004__mexico-earthquake_00000094__pred_00043.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00004__mexico-earthquake_00000094__pred_00043.png,"{""image"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00004__mexico-earthquake_00000094__pred_00043.png"", ""pred"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00004__mexico-earthquake_00000094__pred_00043.png"", ""gt"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00004__mexico-earthquake_00000094__pred_00043.png"", ""overlay"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00004__mexico-earthquake_00000094__pred_00043.png""}"
rank_00005__palu-tsunami_00000120__pred_00045,palu-tsunami_00000120,5,1,11.0,"[725, 220, 946, 521]",45,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00005__palu-tsunami_00000120__pred_00045.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00005__palu-tsunami_00000120__pred_00045.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00005__palu-tsunami_00000120__pred_00045.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00005__palu-tsunami_00000120__pred_00045.png,"{""image"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00005__palu-tsunami_00000120__pred_00045.png"", ""pred"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00005__palu-tsunami_00000120__pred_00045.png"", ""gt"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00005__palu-tsunami_00000120__pred_00045.png"", ""overlay"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00005__palu-tsunami_00000120__pred_00045.png""}"
rank_00006__mexico-earthquake_00000005__pred_00009,mexico-earthquake_00000005,6,1,11.0,"[812, 0, 1024, 213]",9,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00006__mexico-earthquake_00000005__pred_00009.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00006__mexico-earthquake_00000005__pred_00009.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00006__mexico-earthquake_00000005__pred_00009.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00006__mexico-earthquake_00000005__pred_00009.png,"{""image"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00006__mexico-earthquake_00000005__pred_00009.png"", ""pred"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00006__mexico-earthquake_00000005__pred_00009.png"", ""gt"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00006__mexico-earthquake_00000005__pred_00009.png"", ""overlay"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00006__mexico-earthquake_00000005__pred_00009.png""}"
rank_00007__mexico-earthquake_00000117__pred_00147,mexico-earthquake_00000117,7,1,11.0,"[581, 720, 788, 984]",147,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00007__mexico-earthquake_00000117__pred_00147.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00007__mexico-earthquake_00000117__pred_00147.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00007__mexico-earthquake_00000117__pred_00147.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00007__mexico-earthquake_00000117__pred_00147.png,"{""image"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00007__mexico-earthquake_00000117__pred_00147.png"", ""pred"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00007__mexico-earthquake_00000117__pred_00147.png"", ""gt"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00007__mexico-earthquake_00000117__pred_00147.png"", ""overlay"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00007__mexico-earthquake_00000117__pred_00147.png""}"
rank_00008__palu-tsunami_00000181__pred_00054,palu-tsunami_00000181,8,1,11.0,"[432, 200, 631, 405]",54,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00008__palu-tsunami_00000181__pred_00054.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00008__palu-tsunami_00000181__pred_00054.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00008__palu-tsunami_00000181__pred_00054.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00008__palu-tsunami_00000181__pred_00054.png,"{""image"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00008__palu-tsunami_00000181__pred_00054.png"", ""pred"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00008__palu-tsunami_00000181__pred_00054.png"", ""gt"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00008__palu-tsunami_00000181__pred_00054.png"", ""overlay"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00008__palu-tsunami_00000181__pred_00054.png""}"
rank_00009__palu-tsunami_00000165__pred_00096,palu-tsunami_00000165,9,1,11.0,"[14, 824, 157, 1015]",96,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00009__palu-tsunami_00000165__pred_00096.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00009__palu-tsunami_00000165__pred_00096.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00009__palu-tsunami_00000165__pred_00096.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00009__palu-tsunami_00000165__pred_00096.png,"{""image"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00009__palu-tsunami_00000165__pred_00096.png"", ""pred"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00009__palu-tsunami_00000165__pred_00096.png"", ""gt"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00009__palu-tsunami_00000165__pred_00096.png"", ""overlay"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00009__palu-tsunami_00000165__pred_00096.png""}"
rank_00010__hurricane-matthew_00000108__pred_00030,hurricane-matthew_00000108,10,1,11.0,"[32, 178, 196, 332]",30,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00010__hurricane-matthew_00000108__pred_00030.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00010__hurricane-matthew_00000108__pred_00030.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00010__hurricane-matthew_00000108__pred_00030.png,/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00010__hurricane-matthew_00000108__pred_00030.png,"{""image"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/images/rank_00010__hurricane-matthew_00000108__pred_00030.png"", ""pred"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/pred_masks/rank_00010__hurricane-matthew_00000108__pred_00030.png"", ""gt"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/gt_masks/rank_00010__hurricane-matthew_00000108__pred_00030.png"", ""overlay"": ""/home/lky/code/new/xbd_building_eval/outputs/analyze_building_seg_object_watershed/merge_candidate_patches/overlays/rank_00010__hurricane-matthew_00000108__pred_00030.png""}"
